batch_size,ctx_len,tree_depth,branching_factor,draft_tokens,L_max,L_mean,token_padding_ratio,attn_padding_ratio
1,128,1,2,3,131,131.0,0.0,0.0
1,128,1,3,4,132,132.0,0.0,0.0
1,128,1,4,5,133,133.0,0.0,0.0
1,128,2,2,7,135,135.0,0.0,0.0
1,128,2,3,13,141,141.0,0.0,0.0
1,128,2,4,21,149,149.0,0.0,0.0
1,128,3,2,15,143,143.0,0.0,0.0
1,128,3,3,40,168,168.0,0.0,0.0
1,128,3,4,85,213,213.0,0.0,0.0
1,128,4,2,31,159,159.0,0.0,0.0
1,128,4,3,121,249,249.0,0.0,0.0
1,128,4,4,341,469,469.0,0.0,0.0
1,128,5,2,63,191,191.0,0.0,0.0
1,128,5,3,364,492,492.0,0.0,0.0
1,128,5,4,1365,1493,1493.0,0.0,0.0
2,128,1,2,3,131,131.0,0.0,0.0
2,128,1,3,4,132,132.0,0.0,0.0
2,128,1,4,5,133,133.0,0.0,0.0
2,128,2,2,7,135,135.0,0.0,0.0
2,128,2,3,13,141,141.0,0.0,0.0
2,128,2,4,21,149,149.0,0.0,0.0
2,128,3,2,15,143,143.0,0.0,0.0
2,128,3,3,40,168,168.0,0.0,0.0
2,128,3,4,85,213,213.0,0.0,0.0
2,128,4,2,31,159,159.0,0.0,0.0
2,128,4,3,121,249,249.0,0.0,0.0
2,128,4,4,341,469,469.0,0.0,0.0
2,128,5,2,63,191,191.0,0.0,0.0
2,128,5,3,364,492,492.0,0.0,0.0
2,128,5,4,1365,1493,1493.0,0.0,0.0
4,128,1,2,3,131,131.0,0.0,0.0
4,128,1,3,4,132,132.0,0.0,0.0
4,128,1,4,5,133,133.0,0.0,0.0
4,128,2,2,7,135,135.0,0.0,0.0
4,128,2,3,13,141,141.0,0.0,0.0
4,128,2,4,21,149,149.0,0.0,0.0
4,128,3,2,15,143,143.0,0.0,0.0
4,128,3,3,40,168,168.0,0.0,0.0
4,128,3,4,85,213,213.0,0.0,0.0
4,128,4,2,31,159,159.0,0.0,0.0
4,128,4,3,121,249,249.0,0.0,0.0
4,128,4,4,341,469,469.0,0.0,0.0
4,128,5,2,63,191,191.0,0.0,0.0
4,128,5,3,364,492,492.0,0.0,0.0
4,128,5,4,1365,1493,1493.0,0.0,0.0
8,128,1,2,3,131,131.0,0.0,0.0
8,128,1,3,4,132,132.0,0.0,0.0
8,128,1,4,5,133,133.0,0.0,0.0
8,128,2,2,7,135,135.0,0.0,0.0
8,128,2,3,13,141,141.0,0.0,0.0
8,128,2,4,21,149,149.0,0.0,0.0
8,128,3,2,15,143,143.0,0.0,0.0
8,128,3,3,40,168,168.0,0.0,0.0
8,128,3,4,85,213,213.0,0.0,0.0
8,128,4,2,31,159,159.0,0.0,0.0
8,128,4,3,121,249,249.0,0.0,0.0
8,128,4,4,341,469,469.0,0.0,0.0
8,128,5,2,63,191,191.0,0.0,0.0
8,128,5,3,364,492,492.0,0.0,0.0
8,128,5,4,1365,1493,1493.0,0.0,0.0
16,128,1,2,3,131,131.0,0.0,0.0
16,128,1,3,4,132,132.0,0.0,0.0
16,128,1,4,5,133,133.0,0.0,0.0
16,128,2,2,7,135,135.0,0.0,0.0
16,128,2,3,13,141,141.0,0.0,0.0
16,128,2,4,21,149,149.0,0.0,0.0
16,128,3,2,15,143,143.0,0.0,0.0
16,128,3,3,40,168,168.0,0.0,0.0
16,128,3,4,85,213,213.0,0.0,0.0
16,128,4,2,31,159,159.0,0.0,0.0
16,128,4,3,121,249,249.0,0.0,0.0
16,128,4,4,341,469,469.0,0.0,0.0
16,128,5,2,63,191,191.0,0.0,0.0
16,128,5,3,364,492,492.0,0.0,0.0
16,128,5,4,1365,1493,1493.0,0.0,0.0
32,128,1,2,3,131,131.0,0.0,0.0
32,128,1,3,4,132,132.0,0.0,0.0
32,128,1,4,5,133,133.0,0.0,0.0
32,128,2,2,7,135,135.0,0.0,0.0
32,128,2,3,13,141,141.0,0.0,0.0
32,128,2,4,21,149,149.0,0.0,0.0
32,128,3,2,15,143,143.0,0.0,0.0
32,128,3,3,40,168,168.0,0.0,0.0
32,128,3,4,85,213,213.0,0.0,0.0
32,128,4,2,31,159,159.0,0.0,0.0
32,128,4,3,121,249,249.0,0.0,0.0
32,128,4,4,341,469,469.0,0.0,0.0
32,128,5,2,63,191,191.0,0.0,0.0
32,128,5,3,364,492,492.0,0.0,0.0
32,128,5,4,1365,1493,1493.0,0.0,0.0
