kernel,batch_size,branching_factor,depth,num_nodes,actual_depth,status,hbm_read_bytes,hbm_write_bytes,hbm_read_gb,hbm_write_gb,l2_hit_rate_pct,l1_hit_rate_pct,occupancy_pct,occupancy_limit_regs_pct,duration_ns,duration_us,registers_per_thread,sm_throughput_pct,theoretical_read_bytes,theoretical_read_gb,hbm_read_amplification
qattention,1,10,3,30,2,OK,739328,0,0.000739328,0,25.01,31.39,16.41,4,9952,9.952,127,26.64,1.72032e+06,0.00172032,0.429762
flashinfer,1,10,3,30,2,OK,737792,0,0.000737792,0,24.18,9.01,16.73,3,19104,19.104,166,18.98,1.72032e+06,0.00172032,0.428869
deft,1,10,3,30,2,OK,1.23366e+06,0,0.00123366,0,46.7697,36.2916,51.0579,4,30560,30.56,128,51.2141,1.72032e+06,0.00172032,0.717113
qattention,1,10,7,60,2,OK,1.47469e+06,768,0.00147469,7.68e-07,26.7,32.13,33.18,8,15776,15.776,127,32.34,3.44064e+06,0.00344064,0.428609
flashinfer,1,10,7,60,2,OK,1.47533e+06,1024,0.00147533,1.024e-06,24.68,15.94,17.38,3,25888,25.888,166,15.96,3.44064e+06,0.00344064,0.428795
deft,1,10,7,60,2,OK,2.98829e+06,492928,0.00298829,0.000492928,52.1944,31.5111,47.3192,4,66336,66.336,128,55.4162,3.44064e+06,0.00344064,0.868527
qattention,1,10,14,120,3,OK,3.08032e+06,428544,0.00308032,0.000428544,25.86,32.1,35.01,8,32288,32.288,127,40.84,8.84736e+06,0.00884736,0.348163
flashinfer,1,10,14,120,3,OK,2.95219e+06,228224,0.00295219,0.000228224,25.25,33.42,16.71,2,56224,56.224,252,25.69,8.84736e+06,0.00884736,0.333681
deft,1,10,14,120,3,OK,1.86461e+07,2.31885e+06,0.0186461,0.00231885,19.1444,24.8631,38.7363,4,173920,173.92,128,53.0836,8.84736e+06,0.00884736,2.10754
qattention,8,10,3,30,2,OK,5.90144e+06,1.20038e+06,0.00590144,0.00120038,25.34,31.11,31.94,4,52160,52.16,127,40.14,1.37626e+07,0.0137626,0.428804
flashinfer,8,10,3,30,2,OK,5.89978e+06,1.39328e+06,0.00589978,0.00139328,25.24,9.25,16.25,3,93344,93.344,166,29.85,1.37626e+07,0.0137626,0.428683
deft,8,10,3,30,2,OK,9.87482e+06,7296,0.00987482,7.296e-06,47.0258,35.5979,50.7597,4,252416,252.416,128,50.6047,1.37626e+07,0.0137626,0.717513
qattention,8,10,7,60,2,OK,1.23391e+07,3.20614e+06,0.0123391,0.00320614,24.47,31.19,34.36,4,103392,103.392,127,40.42,2.75251e+07,0.0275251,0.448284
flashinfer,8,10,7,60,2,OK,1.18159e+07,3.19949e+06,0.0118159,0.00319949,25.48,15.56,16.26,3,138400,138.4,166,21.72,2.75251e+07,0.0275251,0.429278
deft,8,10,7,60,2,OK,2.55767e+07,3.90989e+06,0.0255767,0.00390989,49.6868,32.1175,47.5463,4,519456,519.456,128,56.3588,2.75251e+07,0.0275251,0.929213
qattention,8,10,14,120,3,OK,2.55652e+07,7.21882e+06,0.0255652,0.00721882,23.67,31.7,33.27,4,218240,218.24,127,45.67,7.07789e+07,0.0707789,0.361198
flashinfer,8,10,14,120,3,OK,2.37394e+07,7.12102e+06,0.0237394,0.00712102,26.08,32.7,16.45,2,368352,368.352,252,29.65,7.07789e+07,0.0707789,0.335402
deft,8,10,14,120,3,OK,1.49111e+08,1.8267e+07,0.149111,0.018267,19.242,25.1254,38.9284,4,1.37555e+06,1375.55,128,53.119,7.07789e+07,0.0707789,2.10671
